| Project   | Id      | Compiled | Equivalent | # wb ok | # wb ko | # bb ok | # bb ko | # ok | # ko |
|===========|=========|==========|============|=========|=========|=========|=========|======|======|
| median    | d4a 002 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | d43 000 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| median    | d4a 000 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | 0ce 003 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| grade     | 9c9 003 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 9c9 000 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 9c9 007 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| smallest  | cb2 000 | -        | False      |       4 |       4 |       3 |       5 |    7 |    9 |
| syllables | f5b 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | 38e 004 | -        | False      |       5 |       5 |       5 |       1 |   10 |    6 |
| syllables | 38e 006 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 375 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | f22 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | c9d 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 38e 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | f22 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| grade     | 769 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| digits    | 346 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | e23 000 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| digits    | 346 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 346 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | 48b 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | c71 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| median    | c71 001 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| median    | c71 002 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| checksum  | 3cf 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | c71 007 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| checksum  | bfa 002 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 300 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| digits    | 317 002 | -        | False      |       1 |       9 |       0 |       6 |    1 |   15 |
| smallest  | f94 005 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| grade     | ca9 000 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| digits    | dc1 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 317 004 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | 139 010 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 139 011 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 139 012 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | d12 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 89b 010 | -        | False      |       6 |       0 |       5 |       2 |   11 |    2 |
| median    | 89b 011 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| digits    | 883 004 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | a0e 006 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 97f 010 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | b6f 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | b6f 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 3b2 007 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| smallest  | 300 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| grade     | 0cd 013 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | 300 007 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
